room_id,last_modified,price,latitude,longitude
6,2017-07-11T18:08:36Z,169,32.753993,-117.129705
5570,2017-07-11T20:01:30Z,205,32.784304,-117.252578
9731,2017-07-11T15:51:35Z,65,32.935241,-117.0963
14668,2017-07-11T15:09:38Z,55,32.931104,-117.152685
37149,2017-07-11T15:09:56Z,55,32.799133,-117.012489
38245,2017-07-11T15:18:00Z,50,32.74202,-117.218701
39516,2017-07-11T17:19:11Z,70,32.731884,-117.11918
45429,2017-07-11T18:18:08Z,160,32.748768,-117.229371
54001,2017-07-11T16:31:55Z,125,32.811896,-117.269516
62274,2017-07-11T15:49:21Z,69,32.807337,-117.242432
62949,2017-07-11T17:18:59Z,75,32.809612,-117.230563
63285,2017-07-11T15:05:50Z,40,32.812882,-117.176988
67441,2017-07-11T17:23:25Z,90,32.763648,-117.076749
69385,2017-07-11T18:06:50Z,175,32.786464,-117.254338
75668,2017-07-11T15:14:52Z,45,32.747304,-117.144234
79300,2017-07-11T15:14:18Z,50,32.745938,-117.144059
103416,2017-07-11T16:31:28Z,106,32.812265,-117.269111
103417,2017-07-11T16:31:24Z,120,32.812803,-117.26747
103420,2017-07-11T17:17:07Z,145,32.812529,-117.267722
103720,2017-07-11T17:16:49Z,129,32.74759,-117.164272
103841,2017-07-11T15:10:55Z,59,32.95923,-117.232842
108349,2017-07-11T19:22:52Z,209,32.796597,-117.253287
117896,2017-07-11T16:22:18Z,89,32.810697,-117.261092
119063,2017-07-11T18:10:24Z,178,32.797573,-117.247404
123990,2017-07-11T20:40:22Z,500,32.99091,-117.166726
126344,2017-07-11T19:22:48Z,221,32.805716,-117.259359
141523,2017-07-11T17:28:31Z,99,32.750677,-117.246538
146886,2017-07-11T17:29:06Z,90,32.708034,-117.143405
149548,2017-07-11T15:17:00Z,49,32.801565,-117.200929
149565,2017-07-11T18:08:36Z,155,32.801423,-117.201403
160488,2017-07-11T17:17:15Z,167,32.859447,-117.254875
161818,2017-07-11T15:51:21Z,79,32.741825,-117.178747
165967,2017-07-11T17:52:24Z,125,32.751734,-117.152838
167022,2017-07-11T15:10:15Z,55,32.794869,-117.234334
167760,2017-07-11T15:09:43Z,50,32.911035,-117.130199
167804,2017-07-11T15:15:53Z,45,32.80041,-117.201517
168415,2017-07-11T15:13:40Z,49,32.782483,-117.159425
170421,2017-07-11T15:09:16Z,50,32.911227,-117.130991
171212,2017-07-11T17:53:04Z,126,32.946629,-117.232438
