scenario,date,asset,return
1,Jan 2017,treas_3m,0.009363904
1,Feb 2017,treas_3m,0.009396742
1,Mar 2017,treas_3m,0.010043507
1,Apr 2017,treas_3m,0.009577568
1,May 2017,treas_3m,0.010345817
1,Jun 2017,treas_3m,0.009696685
1,Jul 2017,treas_3m,0.010668717
1,Aug 2017,treas_3m,0.012610492
1,Sep 2017,treas_3m,0.013370074
1,Oct 2017,treas_3m,0.014180842
1,Nov 2017,treas_3m,0.012083762
1,Dec 2017,treas_3m,0.014133975
1,Jan 2018,treas_3m,0.017067693
1,Feb 2018,treas_3m,0.01443535
1,Mar 2018,treas_3m,0.013354756
1,Apr 2018,treas_3m,0.01432948
1,May 2018,treas_3m,0.017245049
1,Jun 2018,treas_3m,0.01868984
1,Jul 2018,treas_3m,0.020651213
1,Aug 2018,treas_3m,0.021387516
1,Sep 2018,treas_3m,0.02035104
1,Oct 2018,treas_3m,0.022181151
1,Nov 2018,treas_3m,0.021944546
1,Dec 2018,treas_3m,0.023276889
1,Jan 2019,treas_3m,0.022129888
1,Feb 2019,treas_3m,0.020950896
1,Mar 2019,treas_3m,0.020910721
1,Apr 2019,treas_3m,0.026871678
1,May 2019,treas_3m,0.029943899
1,Jun 2019,treas_3m,0.030890827
1,Jul 2019,treas_3m,0.028901331
1,Aug 2019,treas_3m,0.025992717
1,Sep 2019,treas_3m,0.026742003
1,Oct 2019,treas_3m,0.024970918
1,Nov 2019,treas_3m,0.028469341
1,Dec 2019,treas_3m,0.031643823
1,Jan 2020,treas_3m,0.038248102
1,Feb 2020,treas_3m,0.034473416
1,Mar 2020,treas_3m,0.031096691
1,Apr 2020,treas_3m,0.030944182
1,May 2020,treas_3m,0.030599545
1,Jun 2020,treas_3m,0.030376179
1,Jul 2020,treas_3m,0.031876293
1,Aug 2020,treas_3m,0.02809698
1,Sep 2020,treas_3m,0.02991544
1,Oct 2020,treas_3m,0.029679343
1,Nov 2020,treas_3m,0.028358765
1,Dec 2020,treas_3m,0.029372303
1,Jan 2021,treas_3m,0.031236149
1,Feb 2021,treas_3m,0.030124162
1,Mar 2021,treas_3m,0.026512926
1,Apr 2021,treas_3m,0.026590513
1,May 2021,treas_3m,0.026053496
1,Jun 2021,treas_3m,0.028349573
1,Jul 2021,treas_3m,0.026765775
1,Aug 2021,treas_3m,0.02618634
1,Sep 2021,treas_3m,0.030286479
1,Oct 2021,treas_3m,0.033490556
1,Nov 2021,treas_3m,0.033869502
1,Dec 2021,treas_3m,0.034343689
2,Jan 2017,treas_3m,0.009329744
2,Feb 2017,treas_3m,0.010121474
2,Mar 2017,treas_3m,0.010314365
2,Apr 2017,treas_3m,0.011783551
2,May 2017,treas_3m,0.011881169
2,Jun 2017,treas_3m,0.013797036
2,Jul 2017,treas_3m,0.013639459
2,Aug 2017,treas_3m,0.012540724
2,Sep 2017,treas_3m,0.012833721
2,Oct 2017,treas_3m,0.013105698
2,Nov 2017,treas_3m,0.016620404
2,Dec 2017,treas_3m,0.015322673
2,Jan 2018,treas_3m,0.013648699
2,Feb 2018,treas_3m,0.017306296
2,Mar 2018,treas_3m,0.02000624
2,Apr 2018,treas_3m,0.019906949
2,May 2018,treas_3m,0.017620106
2,Jun 2018,treas_3m,0.017273115
2,Jul 2018,treas_3m,0.016567733
2,Aug 2018,treas_3m,0.016920505
2,Sep 2018,treas_3m,0.018757561
2,Oct 2018,treas_3m,0.01812437
2,Nov 2018,treas_3m,0.019246127
2,Dec 2018,treas_3m,0.019028866
2,Jan 2019,treas_3m,0.020941418
2,Feb 2019,treas_3m,0.023089385
2,Mar 2019,treas_3m,0.024099611
2,Apr 2019,treas_3m,0.019517044
2,May 2019,treas_3m,0.018178626
2,Jun 2019,treas_3m,0.018244782
2,Jul 2019,treas_3m,0.020152432
2,Aug 2019,treas_3m,0.023099803
2,Sep 2019,treas_3m,0.02310994
2,Oct 2019,treas_3m,0.025411951
2,Nov 2019,treas_3m,0.022839393
2,Dec 2019,treas_3m,0.021011296
2,Jan 2020,treas_3m,0.017733449
2,Feb 2020,treas_3m,0.020038284
2,Mar 2020,treas_3m,0.022576631
2,Apr 2020,treas_3m,0.023015689
2,May 2020,treas_3m,0.0235839
2,Jun 2020,treas_3m,0.02404689
2,Jul 2020,treas_3m,0.023168574
2,Aug 2020,treas_3m,0.026524373
2,Sep 2020,treas_3m,0.025153898
2,Oct 2020,treas_3m,0.025569556
2,Nov 2020,treas_3m,0.026974661
2,Dec 2020,treas_3m,0.026236855
2,Jan 2021,treas_3m,0.024867955
2,Feb 2021,treas_3m,0.025979292
2,Mar 2021,treas_3m,0.02971556
2,Apr 2021,treas_3m,0.02984939
2,May 2021,treas_3m,0.030670366
2,Jun 2021,treas_3m,0.028384229
2,Jul 2021,treas_3m,0.030248752
2,Aug 2021,treas_3m,0.031104773
2,Sep 2021,treas_3m,0.027062677
2,Oct 2021,treas_3m,0.024602993
2,Nov 2021,treas_3m,0.024442792
2,Dec 2021,treas_3m,0.024211559
3,Jan 2017,treas_3m,0.009981472
3,Feb 2017,treas_3m,0.008741973
3,Mar 2017,treas_3m,0.00810321
3,Apr 2017,treas_3m,0.00795171
3,May 2017,treas_3m,0.008851857
3,Jun 2017,treas_3m,0.01089838
3,Jul 2017,treas_3m,0.011870422
3,Aug 2017,treas_3m,0.013283142
3,Sep 2017,treas_3m,0.014158849
3,Oct 2017,treas_3m,0.014388763
3,Nov 2017,treas_3m,0.014991064
3,Dec 2017,treas_3m,0.016520188
3,Jan 2018,treas_3m,0.01473483
3,Feb 2018,treas_3m,0.014424196
3,Mar 2018,treas_3m,0.014921487
3,Apr 2018,treas_3m,0.015673048
3,May 2018,treas_3m,0.015201851
3,Jun 2018,treas_3m,0.016185996
3,Jul 2018,treas_3m,0.016157489
3,Aug 2018,treas_3m,0.018180408
3,Sep 2018,treas_3m,0.018509764
3,Oct 2018,treas_3m,0.019115157
3,Nov 2018,treas_3m,0.020464275
3,Dec 2018,treas_3m,0.019747764
3,Jan 2019,treas_3m,0.02121682
3,Feb 2019,treas_3m,0.021152477
3,Mar 2019,treas_3m,0.019953987
3,Apr 2019,treas_3m,0.021331532
3,May 2019,treas_3m,0.022632465
3,Jun 2019,treas_3m,0.022847995
3,Jul 2019,treas_3m,0.025696402
3,Aug 2019,treas_3m,0.031427544
3,Sep 2019,treas_3m,0.03119879
3,Oct 2019,treas_3m,0.033922014
3,Nov 2019,treas_3m,0.034892245
3,Dec 2019,treas_3m,0.034187317
3,Jan 2020,treas_3m,0.036596054
3,Feb 2020,treas_3m,0.037421592
3,Mar 2020,treas_3m,0.03238782
3,Apr 2020,treas_3m,0.032227292
3,May 2020,treas_3m,0.030607268
3,Jun 2020,treas_3m,0.029496649
3,Jul 2020,treas_3m,0.028548438
3,Aug 2020,treas_3m,0.029405955
3,Sep 2020,treas_3m,0.032403928
3,Oct 2020,treas_3m,0.035704213
3,Nov 2020,treas_3m,0.037355951
3,Dec 2020,treas_3m,0.03748384
3,Jan 2021,treas_3m,0.035418736
3,Feb 2021,treas_3m,0.033290861
3,Mar 2021,treas_3m,0.033276651
3,Apr 2021,treas_3m,0.036126647
3,May 2021,treas_3m,0.040126364
3,Jun 2021,treas_3m,0.041746426
3,Jul 2021,treas_3m,0.041616672
3,Aug 2021,treas_3m,0.039879841
3,Sep 2021,treas_3m,0.044611324
3,Oct 2021,treas_3m,0.046716923
3,Nov 2021,treas_3m,0.043621876
3,Dec 2021,treas_3m,0.040089829
1,Jan 2017,treas_30yr,0.03184376
1,Feb 2017,treas_30yr,0.032746441
1,Mar 2017,treas_30yr,0.034325263
1,Apr 2017,treas_30yr,0.032131214
1,May 2017,treas_30yr,0.033763602
1,Jun 2017,treas_30yr,0.033931965
1,Jul 2017,treas_30yr,0.036183505
1,Aug 2017,treas_30yr,0.03769849
1,Sep 2017,treas_30yr,0.037873419
1,Oct 2017,treas_30yr,0.036752902
1,Nov 2017,treas_30yr,0.035490217
1,Dec 2017,treas_30yr,0.039144519
1,Jan 2018,treas_30yr,0.043513345
1,Feb 2018,treas_30yr,0.040803731
1,Mar 2018,treas_30yr,0.040914668
1,Apr 2018,treas_30yr,0.041542475
1,May 2018,treas_30yr,0.045515156
1,Jun 2018,treas_30yr,0.047452229
1,Jul 2018,treas_30yr,0.051449556
1,Aug 2018,treas_30yr,0.050884969
1,Sep 2018,treas_30yr,0.050530556
1,Oct 2018,treas_30yr,0.051922756
1,Nov 2018,treas_30yr,0.051591406
1,Dec 2018,treas_30yr,0.051746865
1,Jan 2019,treas_30yr,0.049724507
1,Feb 2019,treas_30yr,0.049269079
1,Mar 2019,treas_30yr,0.05035532
1,Apr 2019,treas_30yr,0.055861444
1,May 2019,treas_30yr,0.058047685
1,Jun 2019,treas_30yr,0.060940344
1,Jul 2019,treas_30yr,0.057918828
1,Aug 2019,treas_30yr,0.055487644
1,Sep 2019,treas_30yr,0.054657813
1,Oct 2019,treas_30yr,0.051674267
1,Nov 2019,treas_30yr,0.056977468
1,Dec 2019,treas_30yr,0.060191687
1,Jan 2020,treas_30yr,0.066074298
1,Feb 2020,treas_30yr,0.061834265
1,Mar 2020,treas_30yr,0.059512634
1,Apr 2020,treas_30yr,0.061940223
1,May 2020,treas_30yr,0.061367315
1,Jun 2020,treas_30yr,0.059165566
1,Jul 2020,treas_30yr,0.059059856
1,Aug 2020,treas_30yr,0.059431777
1,Sep 2020,treas_30yr,0.057856503
1,Oct 2020,treas_30yr,0.05728348
1,Nov 2020,treas_30yr,0.055332228
1,Dec 2020,treas_30yr,0.059740423
1,Jan 2021,treas_30yr,0.060002787
1,Feb 2021,treas_30yr,0.058356724
1,Mar 2021,treas_30yr,0.056266958
1,Apr 2021,treas_30yr,0.054438546
1,May 2021,treas_30yr,0.054263689
1,Jun 2021,treas_30yr,0.056103664
1,Jul 2021,treas_30yr,0.054369023
1,Aug 2021,treas_30yr,0.052959437
1,Sep 2021,treas_30yr,0.055378655
1,Oct 2021,treas_30yr,0.059152326
1,Nov 2021,treas_30yr,0.060553085
1,Dec 2021,treas_30yr,0.060441276
2,Jan 2017,treas_30yr,0.03025923
2,Feb 2017,treas_30yr,0.030470942
2,Mar 2017,treas_30yr,0.030084292
2,Apr 2017,treas_30yr,0.03326518
2,May 2017,treas_30yr,0.032690412
2,Jun 2017,treas_30yr,0.033641742
2,Jul 2017,treas_30yr,0.032465558
2,Aug 2017,treas_30yr,0.032028087
2,Sep 2017,treas_30yr,0.032742044
2,Oct 2017,treas_30yr,0.034580906
2,Nov 2017,treas_30yr,0.036694577
2,Dec 2017,treas_30yr,0.033854951
2,Jan 2018,treas_30yr,0.031031510000000002
2,Feb 2018,treas_30yr,0.033535222
2,Mar 2018,treas_30yr,0.033953506
2,Apr 2018,treas_30yr,0.0337553
2,May 2018,treas_30yr,0.031022629
2,Jun 2018,treas_30yr,0.029999993
2,Jul 2018,treas_30yr,0.027902321
2,Aug 2018,treas_30yr,0.028388767
2,Sep 2018,treas_30yr,0.028695873
2,Oct 2018,treas_30yr,0.028120576
2,Nov 2018,treas_30yr,0.028436961
2,Dec 2018,treas_30yr,0.028552412
2,Jan 2019,treas_30yr,0.029870325
2,Feb 2019,treas_30yr,0.030363658
2,Mar 2019,treas_30yr,0.029953087
2,Apr 2019,treas_30yr,0.027345047
2,May 2019,treas_30yr,0.026683345
2,Jun 2019,treas_30yr,0.025679243
2,Jul 2019,treas_30yr,0.027134621
2,Aug 2019,treas_30yr,0.028466395
2,Sep 2019,treas_30yr,0.029181275
2,Oct 2019,treas_30yr,0.03111796
2,Nov 2019,treas_30yr,0.028544021
2,Dec 2019,treas_30yr,0.027377178
2,Jan 2020,treas_30yr,0.02551693
2,Feb 2020,treas_30yr,0.027211743
2,Mar 2020,treas_30yr,0.028297562
